config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count
W2_WR0.05_O0.1_RD4_RT5,2,4,0.05,5,100,0.1,1,60,0.5000,0.10,5.76,1047.04,2166.78,2166.78,1179.65,2183.17,713.73,1463.30,0.50
W2_WR0.05_O0.1_RD4_RT6,2,4,0.05,6,100,0.1,1,60,0.5000,0.10,5.70,1290.24,2125.82,2125.82,1474.56,2081.79,716.80,1459.20,0.50
W2_WR0.05_O0.2_RD4_RT5,2,4,0.05,5,100,0.2,1,60,0.5000,0.10,5.70,1078.27,2144.26,2144.26,1198.08,2201.60,721.41,1456.13,0.50
W2_WR0.05_O0.2_RD4_RT6,2,4,0.05,6,100,0.2,1,60,0.5000,0.10,5.70,1086.46,2129.92,2129.92,1362.94,2107.39,719.36,1458.17,0.50
W2_WR0.05_O0.3_RD4_RT5,2,4,0.05,5,100,0.3,1,60,0.3333,0.10,5.82,1199.10,2893.82,2893.82,922.11,2094.08,706.56,1454.08,0.33
W2_WR0.05_O0.3_RD4_RT6,2,4,0.05,6,100,0.3,1,60,0.5000,0.10,5.73,1227.78,2113.53,2113.53,1381.38,2068.48,714.24,1453.06,0.50
W2_WR0.05_O0.4_RD4_RT5,2,4,0.05,5,100,0.4,1,60,0.5000,0.10,5.69,1047.04,2310.14,2310.14,1084.41,2187.26,719.87,1453.06,0.50
W2_WR0.05_O0.4_RD4_RT6,2,4,0.05,6,100,0.4,1,60,0.5000,0.10,5.71,940.03,2101.25,2101.25,867.84,2123.78,718.34,1448.96,0.50
W2_WR0.10_O0.1_RD4_RT5,2,4,0.1,5,100,0.1,1,60,0.4167,0.20,4.63,1269.76,2807.81,2807.81,1112.06,1610.75,760.83,1604.61,0.42
W2_WR0.10_O0.1_RD4_RT6,2,4,0.1,6,100,0.1,1,60,0.5000,0.20,4.62,1253.38,1831.93,1831.93,1173.50,1699.84,784.38,1564.67,0.50
W2_WR0.10_O0.2_RD4_RT5,2,4,0.1,5,100,0.2,1,60,0.5000,0.20,4.67,1131.52,1499.13,1499.13,1024.51,1400.83,747.01,1546.24,0.50
W2_WR0.10_O0.2_RD4_RT6,2,4,0.1,6,100,0.2,1,60,0.5000,0.20,4.63,1145.86,1804.29,1804.29,1033.21,1735.68,749.05,1543.17,0.50
