config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count,total_retry_failures,total_max_retries_exceeded,retry_failure_rate,retry_success_rate
W1_WR0.02_RD3_RT100,1,3,0.02,100,100,0,1,60,0.0000,0.02,0.26,1742.85,18743.29,18743.29,0.00,0.00,542.72,81199.10,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD3_RT200,1,3,0.02,200,100,0,1,60,0.0000,0.02,0.22,1699.84,17317.89,17317.89,0.00,0.00,543.74,77725.70,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD3_RT300,1,3,0.02,300,100,0,1,60,0.0000,0.02,0.26,1698.82,19136.51,19136.51,0.00,0.00,544.77,46268.42,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD4_RT100,1,4,0.02,100,100,0,1,60,0.0000,0.02,0.33,1721.34,25133.06,25133.06,0.00,0.00,550.91,93323.26,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD4_RT200,1,4,0.02,200,100,0,1,60,0.0000,0.02,0.37,1698.82,19759.10,19759.10,0.00,0.00,547.33,43057.15,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD4_RT300,1,4,0.02,300,100,0,1,60,0.0000,0.02,0.31,1702.91,19824.64,19824.64,0.00,0.00,549.89,82116.61,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD5_RT100,1,5,0.02,100,100,0,1,60,0.0000,0.02,0.42,1696.77,19857.41,19857.41,0.00,0.00,553.98,61898.75,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD5_RT200,1,5,0.02,200,100,0,1,60,0.0000,0.02,0.44,1701.89,23674.88,23674.88,0.00,0.00,578.56,79560.70,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD5_RT300,1,5,0.02,300,100,0,1,60,0.0000,0.02,5.27,1233.92,2779.14,2779.14,0.00,0.00,543.23,748.54,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD6_RT100,1,6,0.02,100,100,0,1,60,0.0000,0.01,6.49,2834.43,2834.43,2834.43,0.00,0.00,542.21,759.29,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD6_RT200,1,6,0.02,200,100,0,1,60,0.0000,0.01,6.47,2881.53,2881.53,2881.53,0.00,0.00,543.23,790.53,0.00,0,0,0.0000,0.0000
W1_WR0.02_RD6_RT300,1,6,0.02,300,100,0,1,60,0.0000,0.01,6.48,2662.40,2662.40,2662.40,0.00,0.00,542.72,735.23,0.00,0,0,0.0000,0.0000
W1_WR0.05_RD3_RT100,1,3,0.05,100,100,0,1,60,0.0000,0.05,4.56,1331.20,2617.34,2617.34,0.00,0.00,648.70,1991.68,0.00,0,0,0.0000,0.0000
W1_WR0.05_RD3_RT200,1,3,0.05,200,100,0,1,60,0.0000,0.05,4.58,1326.08,2678.78,2678.78,0.00,0.00,653.31,2002.94,0.00,0,0,0.0000,0.0000
W1_WR0.05_RD3_RT300,1,3,0.05,300,100,0,1,60,0.0000,0.05,4.57,1330.17,2652.16,2652.16,0.00,0.00,647.17,1999.87,0.00,0,0,0.0000,0.0000
W1_WR0.05_RD4_RT100,1,4,0.05,100,100,0,1,60,0.0000,0.03,6.38,2031.62,2684.93,2684.93,0.00,0.00,645.63,2001.92,0.00,0,0,0.0000,0.0000
W1_WR0.05_RD4_RT200,1,4,0.05,200,100,0,1,60,0.0000,0.05,5.91,1530.88,2279.42,2279.42,0.00,0.00,653.31,800.77,0.00,0,0,0.0000,0.0000
W1_WR0.05_RD4_RT300,1,4,0.05,300,100,0,1,60,0.0000,0.05,6.18,1454.08,3295.23,3295.23,0.00,0.00,650.24,813.57,0.00,0,0,0.0000,0.0000
